cat name,event name,event start,event finish,state,description,location,type,year,original loss value,normalised loss value (2022),claims count,NSW,VIC,QLD,ACT,TAS,SA,NT,WA
SE231,SE231 Newcastle Hailstorm,2023-05-23,2023-05-23,NSW,The Insurance Council of Australia (ICA) has declared a Significant Event for the Hunter and Central Coast regions of New South Wales impacted by hailstorm on the afternoon of Friday 26 May,NSW,hailstorm,2023,355443504.0,355443504.0,27094.0,1,0,0,0,0,0,0,0
SE225,SA River Murray Floods,2022-11-18,2023-01-19,SA,SA Flooding,SA,flooding,2022,440967421.0,440967421.0,2603.0,0,0,0,0,0,1,0,0
SE224,Central West NSW Floods,2022-11-12,2022-12-05,NSW,"Severe flooding in Central West NSW. The impact of flooding has been felt must significantly in communities surrounding Central West NSW, in particular Cowra, Forbes, Condolobin, Eugowra and Molong. Record flooding in Forbes causing large evacuations",NSW,flooding,2022,257026361.0,257026361.0,14863.0,1,0,0,0,0,0,0,0
CAT223,"Victorian, NSW and Tasmanian Floods",2022-10-19,2022-10-28,"VIC, NSW, TAS",This declaration reflects the growing severity of the floods and the forecasted further extreme weather.,"VIC, NSW, TAS",flooding,2022,859606715.0,859606715.0,22890.0,1,1,0,0,1,0,0,0
SE222,NSW Severe Weather,2022-07-01,2022-07-08,NSW,The Insurance Council of Australia (ICA) has declared a ‘significant event’ for regions of New South Wales impacted by significant storm and flooding.,NSW,flooding,2022,296853475.0,296853475.0,23618.0,1,0,0,0,0,0,0,0
CAT221,SE Queensland and NSW Floods,2022-02-21,2022-03-09,"QLD, NSW","Record breaking flooding across NSW and SEQ. Consistent rain for weeks, with water levels rapidly rising.  Reported 23 deaths. Lismore notably affected, waters reaching 14.4m.",NSW and SEQ,flooding,2022,6319383622.0,6319383622.0,244398.0,1,0,1,0,0,0,0,0
CAT216,SA Vic Severe Storms,2021-10-28,2021-11-01,"SA, VIC, TAS",Severe storm with large hailstones impacted the northern suburbs of Adelaide and the Barossa Valley causing severe damage to vehicles and primary producers. This storm front continued into Victoria over the weekend with damaging winds and flash flooding causing damage to property,"SA, Vic",storm,2021,891731742.0,975700000.0,110428.0,0,1,0,0,1,1,0,0
SE215,Mansfield Earthquake,2021-09-22,2021-09-22,VIC,"An earthquake struck approximately 53 kilometres SSW of the town of Mansfield (27 km from the closest settlement of Jamieson), in the Victorian Alps of Australia on 22 September 2021, at 09:15 local time. The earthquake measured 5.9 on the moment magnitude scale. The earthquake caused minor structural damage in parts of Melbourne and left one person injured. The earthquake was also felt in New South Wales, Australian Capital Territory, South Australia and Tasmania.[6] The earthquake was substantially stronger than the 1989 Newcastle earthquake that measured Mw 5.6 and killed 13 people.",Vic,earthquake,2021,100455393.0,113300000.0,18465.0,0,1,0,0,0,0,0,0
CAT214,Severe Weather & Flooding,2021-06-07,2021-06-14,VIC,Extensive storm damage and flooding felt most significantly in Gippsland around Traralgon and in the Yarra Ranges.,VIC,storm,2021,313193118.0,375700000.0,34372.0,0,1,0,0,0,0,0,0
CAT213,TC Seroja,2021-04-07,2021-04-14,WA,"On 14 April, the Insurance Council of Australia declared an Insurance Catastrophe for impacted parts of Western Australia from Tropical Cyclone Seroja. The cyclone made landfall late Sunday 11 April, with the coastal town of Kalbarri, taking the brunt of Seroja, as did the community of Northampton._x000D_
Tropical Cyclone Seroja severely damaged homes, businesses, communications, and road infrastructure as well as the electricity service, across a number of West Australian communities",WA,cyclone,2021,408121391.0,431100000.0,10066.0,0,0,0,0,0,0,0,1
