Event,Zone,Region,Category,Start Date,End Date,Year,Insured Cost,NSW,VIC,QLD,ACT,TAS,SA,NT,WA,Waters
Bushfire - Black Thursday Victoria,Victoria,Melbourne,Bushfire,1851-02-06,1851-02-07,1851,700000.0,0,1,0,0,0,0,0,0,0
Bushfire - Red Tuesday,Victoria,Melbourne,Bushfire,1898-02-01,1898-02-02,1898,700000.0,0,1,0,0,0,0,0,0,0
Black Summer - New South Wales,New South Wales,New South Wales,Bushfire,2019-07-01,2020-03-31,2019,1880000000.0,1,0,0,0,0,0,0,0,0
Black Summer - Queensland,Queensland,Queensland,Bushfire,2019-09-01,2019-12-31,2019,70000000.0,0,0,1,0,0,0,0,0,0
Black Summer - Victoria,Victoria,Victoria,Bushfire,2019-11-01,2020-02-29,2019,18600000.0,0,1,0,0,0,0,0,0,0
Black Summer - South Australia,South Australia,South Australia,Bushfire,2019-11-01,2020-02-29,2019,186000000.0,0,0,0,0,0,1,0,0,0
"Eastern Victorian bushfires, 2019",Victoria,East Victoria,Bushfire,2019-03-01,2019-03-21,2019,36000000.0,0,1,0,0,0,0,0,0,0
"Tasmanian bushfires, 2018-19",Tasmania,Tasmania,Bushfire,2018-12-28,2019-03-01,2018,60000000.0,0,0,0,0,1,0,0,0,0
"Tathra bushfire, 2018",New South Wales,Tathra,Bushfire,2018-03-18,2018-03-21,2018,63516711.0,1,0,0,0,0,0,0,0,0
"South-west complex fires, 2018",Victoria,South-west Victoria,Bushfire,2018-03-17,2018-05-02,2018,18972524.0,0,1,0,0,0,0,0,0,0
"Sir Ivan fire, 2017",New South Wales,Warrambungle Shire,Bushfire,2017-02-11,2017-02-28,2017,1054799742.0,1,0,0,0,0,0,0,0,0
"Carwoola bushfire, 2017",New South Wales,Carwoola,Bushfire,2017-02-18,2017-02-19,2017,1054799742.0,1,0,0,0,0,0,0,0,0
"Llandilo bushfire, 2016",New South Wales,Llandilo,Bushfire,2016-11-04,2016-11-05,2016,180000000.0,1,0,0,0,0,0,0,0,0
Waroona-Yarloop Fire,Western Australia,Waroona,Bushfire,2016-01-05,2016-01-08,2016,71000000.0,0,0,0,0,0,0,0,1,0
Waroona-Yarloop Fire,Western Australia,Yarloop,Bushfire,2016-01-05,2016-01-08,2016,71000000.0,0,0,0,0,0,0,0,1,0
Wye River - Jamieson track / Great Ocean Road Bushfire,Victoria,Wye River,Bushfire,2015-12-19,2016-01-21,2015,120000000.0,0,1,0,0,0,0,0,0,0
"Pinery fire, 2015",South Australia,Pinery,Bushfire,2015-11-25,2015-11-30,2015,61000000.0,0,0,0,0,0,1,0,0,0
"Sampson Flat bushfire, 2015",South Australia,Sampson Flat,Bushfire,2015-01-02,2015-01-08,2015,24900000.0,0,0,0,0,0,1,0,0,0
"Bushfire – Perth Hills, Western Australia 2014",Western Australia,Perth,Bushfire,2014-01-12,2014-01-14,2014,15000000.0,0,0,0,0,0,0,0,1,0
Bushfire - Victoria,Victoria,Victoria,Bushfire,2014-02-08,2014-02-14,2014,68500000.0,0,1,0,0,0,0,0,0,0
Bushfire - Victoria,Victoria,Stawell,Bushfire,2006-01-01,,2006,22000000.0,0,1,0,0,0,0,0,0,0
Bushfire - Victoria,Victoria,Yea,Bushfire,2006-01-01,,2006,22000000.0,0,1,0,0,0,0,0,0,0
Bushfire - Victoria,Victoria,Moondarra,Bushfire,2006-01-01,,2006,22000000.0,0,1,0,0,0,0,0,0,0
Bushfire - Victoria,Victoria,Grampians,Bushfire,2006-01-01,,2006,22000000.0,0,1,0,0,0,0,0,0,0
Bushfire - Victoria,Victoria,Kinglake and Anakie,Bushfire,2006-01-01,,2006,22000000.0,0,1,0,0,0,0,0,0,0
"Bushfire - Coonabarabran, 2013",New South Wales,Coonabarabran,Bushfire,2013-01-07,2013-01-20,2013,35000000.0,1,0,0,0,0,0,0,0,0
"Bushfire - Hazelwood open cut mine fire, Morwell",Victoria,Morwell,Bushfire,2014-02-09,2014-03-25,2014,100000000.0,0,1,0,0,0,0,0,0,0
"Dunalley and Tasmanian bushfires, 2013",Tasmania,Dunalley,Bushfire,2013-01-01,2013-01-14,2013,89000000.0,0,0,0,0,1,0,0,0,0
"Dunalley and Tasmanian bushfires, 2013",Tasmania,Forcett,Bushfire,2013-01-01,2013-01-14,2013,89000000.0,0,0,0,0,1,0,0,0,0
"Dunalley and Tasmanian bushfires, 2013",Tasmania,Lake Repulse,Bushfire,2013-01-01,2013-01-14,2013,89000000.0,0,0,0,0,1,0,0,0,0
Bushfire - Augusta - Margaret River,Western Australia,Bunbury,Bushfire,2011-11-23,2011-12-06,2011,53000000.0,0,0,0,0,0,0,0,1,0
Bushfire - Southern Queensland,Queensland,Blackall,Bushfire,2011-08-01,2011-10-31,2011,122465000.0,0,0,1,0,0,0,0,0,0
Bushfire - Southern Queensland,Queensland,Charters Towers,Bushfire,2011-08-01,2011-10-31,2011,122465000.0,0,0,1,0,0,0,0,0,0
Bushfire - Southern Queensland,Queensland,Longreach,Bushfire,2011-08-01,2011-10-31,2011,122465000.0,0,0,1,0,0,0,0,0,0
Bushfire - Southern Queensland,Queensland,Townsville,Bushfire,2011-08-01,2011-10-31,2011,122465000.0,0,0,1,0,0,0,0,0,0
Bushfire - Southern Queensland,Queensland,Winton,Bushfire,2011-08-01,2011-10-31,2011,122465000.0,0,0,1,0,0,0,0,0,0
Bushfire - Perth Hill Bushfires,Western Australia,Perth,Bushfire,2011-02-05,2011-02-07,2011,35000000.0,0,0,0,0,0,0,0,1,0
"Bushfire - Black Saturday, Victoria",Victoria,Cooma (VIC),Bushfire,2009-02-07,2009-02-08,2009,1070000000.0,0,1,0,0,0,0,0,0,0
"Bushfire - Black Saturday, Victoria",Victoria,Mount Gambier (VIC),Bushfire,2009-02-07,2009-02-08,2009,1070000000.0,0,1,0,0,0,0,0,0,0
"Bushfire - Black Saturday, Victoria",Victoria,Warrnambool (VIC),Bushfire,2009-02-07,2009-02-08,2009,1070000000.0,0,1,0,0,0,0,0,0,0
"Bushfire - Black Saturday, Victoria",Victoria,Wilsons Promontory,Bushfire,2009-02-07,2009-02-08,2009,1070000000.0,0,1,0,0,0,0,0,0,0
"Bushfire - Black Saturday, Victoria",Victoria,Melbourne,Bushfire,2009-02-07,2009-02-08,2009,1070000000.0,0,1,0,0,0,0,0,0,0
Bushfire - Boorabbin National Park,Western Australia,Kalgoorlie,Bushfire,2007-12-28,2008-01-08,2007,57450000.0,0,0,0,0,0,0,0,1,0
Bushfire - Great Divide Complex ,Victoria,Cooma (VIC),Bushfire,2006-12-01,2007-02-07,2006,22000000.0,0,1,0,0,0,0,0,0,0
Bushfire - Great Divide Complex ,Victoria,Melbourne,Bushfire,2006-12-01,2007-02-07,2006,22000000.0,0,1,0,0,0,0,0,0,0
Bushfire - Victoria,Victoria,Mount Gambier (VIC),Bushfire,2005-12-31,2006-01-31,2005,22400000.0,0,1,0,0,0,0,0,0,0
Bushfire - Victoria,Victoria,Wilsons Promontory,Bushfire,2005-12-31,2006-01-31,2005,22400000.0,0,1,0,0,0,0,0,0,0
Bushfire - Victoria,Victoria,Melbourne,Bushfire,2005-12-31,2006-01-31,2005,22400000.0,0,1,0,0,0,0,0,0,0
Bushfire - Eyre Peninsula,South Australia,Adelaide,Bushfire,2005-01-10,2005-01-12,2005,27700000.0,0,0,0,0,0,1,0,0,0
Bushfire - Canberra,Australian Capital Territory,Canberra (ACT),Bushfire,2003-01-18,2003-01-19,2003,25000000.0,0,0,0,1,0,0,0,0,0
"Bushfire - North-Eastern Victoria, Alpine Region",Victoria,Cooma (VIC),Bushfire,2003-01-08,2003-03-19,2003,12000000.0,0,1,0,0,0,0,0,0,0
Bushfire - Sydney,New South Wales,Sydney,Bushfire,2002-10-09,2002-10-09,2002,25000000.0,1,0,0,0,0,0,0,0,0
Bushfire - Black Christmas,"New South Wales , Australian Capital Territory",Dubbo,Bushfire,2001-12-24,2002-01-11,2001,69000000.0,1,0,0,1,0,0,0,0,0
Bushfire - Black Christmas,"New South Wales , Australian Capital Territory",Sydney,Bushfire,2001-12-24,2002-01-11,2001,69000000.0,1,0,0,1,0,0,0,0,0
Bushfire - Black Christmas,"New South Wales , Australian Capital Territory",Wollongong,Bushfire,2001-12-24,2002-01-11,2001,69000000.0,1,0,0,1,0,0,0,0,0
Bushfire - Black Christmas,"New South Wales , Australian Capital Territory",Canberra (ACT),Bushfire,2001-12-24,2002-01-11,2001,69000000.0,1,0,0,1,0,0,0,0,0
"Bushfire – Mt Ku-ring-gai, New South Wales 2000",New South Wales,Mt Ku-Ring-gai,Bushfire,2000-06-08,2000-06-08,2000,12000000.0,1,0,0,0,0,0,0,0,0
Bushfire - Linton (near Ballarat),Victoria,Melbourne,Bushfire,1998-12-02,1998-12-02,1998,23000000.0,0,1,0,0,0,0,0,0,0
"Bushfire - Sydney, Hunter, Pilliga",New South Wales,Sydney,Bushfire,1997-11-20,1997-12-20,1997,29000000.0,1,0,0,0,0,0,0,0,0
Bushfire - Kangaroo Island,South Australia,Kangaroo Island,Bushfire,2007-12-06,,2007,17900000.0,0,0,0,0,0,1,0,0,0
Bushfire - Dandenong Ranges and Mornington Peninsula,Victoria,Wilsons Promontory,Bushfire,1997-01-19,1997-01-21,1997,29000000.0,0,1,0,0,0,0,0,0,0
Bushfire - Dandenong Ranges and Mornington Peninsula,Victoria,Melbourne,Bushfire,1997-01-19,1997-01-21,1997,29000000.0,0,1,0,0,0,0,0,0,0
Bushfire - East Coast,Queensland,Brisbane,Bushfire,1994-09-27,1994-11-07,1994,59100000.0,0,0,1,0,0,0,0,0,0
"Bushfire - North Coast, Hunter and Sydney",New South Wales,Dubbo,Bushfire,1993-12-27,1994-01-16,1993,59000000.0,1,0,0,0,0,0,0,0,0
"Bushfire - North Coast, Hunter and Sydney",New South Wales,Lismore (NSW),Bushfire,1993-12-27,1994-01-16,1993,59000000.0,1,0,0,0,0,0,0,0,0
"Bushfire - North Coast, Hunter and Sydney",New South Wales,Sydney,Bushfire,1993-12-27,1994-01-16,1993,59000000.0,1,0,0,0,0,0,0,0,0
Bushfire - Western Sydney and Central Coast,New South Wales,Sydney,Bushfire,1991-10-16,1992-01-31,1991,12000000.0,1,0,0,0,0,0,0,0,0
Bushfire - Cootamundra and Deniliquin Regions,New South Wales,Canberra (NSW),Bushfire,1987-01-17,1987-01-20,1987,80000000.0,1,0,0,0,0,0,0,0,0
Bushfire - Cootamundra and Deniliquin Regions,New South Wales,Swan Hill (NSW),Bushfire,1987-01-17,1987-01-20,1987,80000000.0,1,0,0,0,0,0,0,0,0
Bushfire - Central Victoria and Alpine Fires,Victoria,Cooma (VIC),Bushfire,1985-01-14,1985-01-28,1985,59000000.0,0,1,0,0,0,0,0,0,0
Bushfire - Central Victoria and Alpine Fires,Victoria,Mount Gambier (VIC),Bushfire,1985-01-14,1985-01-28,1985,59000000.0,0,1,0,0,0,0,0,0,0
Bushfire - Central Victoria and Alpine Fires,Victoria,Wilsons Promontory,Bushfire,1985-01-14,1985-01-28,1985,59000000.0,0,1,0,0,0,0,0,0,0
